origin,ori_ts,destination,des_ts,cost,k
8.0,1528298351.0,4.0,1528298713.0,0.18842633175427706,1.0
10.0,1528298713.0,14.0,1528299799.0,0.06692131307951221,1.0
11.0,1528298713.0,15.0,1528299799.0,0.014391159651388494,1.0
14.0,1528298713.0,7.0,1528298351.0,0.47690960506675184,1.0
3.0,1528298713.0,10.0,1528299075.0,0.43469563357033436,1.0
14.0,1528299075.0,11.0,1528299799.0,0.23620554510554395,1.0
16.0,1528299075.0,8.0,1528298351.0,0.3700140615645927,2.0
5.0,1528299075.0,10.0,1528298713.0,0.4809805166967995,1.0
8.0,1528299075.0,10.0,1528299799.0,0.27997668874804454,1.0
13.0,1528299437.0,15.0,1528300161.0,0.4462842152761313,1.0
13.0,1528299437.0,14.0,1528300884.0,0.12395333302263435,1.0
14.0,1528299437.0,13.0,1528300522.0,0.052556482041797456,1.0
3.0,1528299437.0,13.0,1528300522.0,0.12696947003351824,1.0
12.0,1528299799.0,1.0,1528300522.0,0.18545215291868383,1.0
12.0,1528299799.0,7.0,1528300884.0,0.04959535536812187,1.0
15.0,1528299799.0,4.0,1528299437.0,0.2759275927592759,1.0
5.0,1528299799.0,15.0,1528300161.0,0.41014581781978815,1.0
9.0,1528299799.0,1.0,1528300522.0,0.06331973421418756,1.0
16.0,1528300161.0,7.0,1528300884.0,0.3450440306153416,1.0
16.0,1528300161.0,13.0,1528301970.0,0.16182210185114418,1.0
3.0,1528300161.0,8.0,1528300522.0,0.358811545654927,1.0
12.0,1528300522.0,16.0,1528301608.0,0.33946507619264266,1.0
14.0,1528300522.0,1.0,1528300884.0,0.18056053797034896,1.0
15.0,1528300522.0,3.0,1528300884.0,0.434257431622509,1.0
15.0,1528300522.0,13.0,1528301970.0,0.02786887573292445,1.0
5.0,1528300522.0,14.0,1528300884.0,0.39016275242123916,1.0
6.0,1528300522.0,14.0,1528300884.0,0.4484456680892299,2.0
6.0,1528300522.0,16.0,1528301608.0,0.04974655533126313,1.0
11.0,1528301246.0,3.0,1528301970.0,0.04219298131969851,1.0
12.0,1528301246.0,15.0,1528302332.0,0.09422707376961682,1.0
12.0,1528301246.0,9.0,1528302332.0,0.1560158351946059,1.0
12.0,1528301246.0,9.0,1528302694.0,0.12531221974052548,1.0
16.0,1528301246.0,10.0,1528302694.0,0.008399839481300034,1.0
16.0,1528301246.0,9.0,1528302694.0,0.11031364826981238,1.0
3.0,1528301246.0,14.0,1528301608.0,0.08858362874637453,1.0
6.0,1528301246.0,1.0,1528301608.0,0.25380056686421026,1.0
7.0,1528301246.0,1.0,1528301608.0,0.4495251013512486,1.0
10.0,1528301608.0,8.0,1528302694.0,0.026192476289378767,1.0
10.0,1528301608.0,9.0,1528302694.0,0.08426375564851583,2.0
11.0,1528301608.0,9.0,1528302694.0,0.08711495542750507,1.0
16.0,1528301608.0,7.0,1528300522.0,0.016207216111011027,1.0
2.0,1528301608.0,11.0,1528301970.0,0.467305507649022,1.0
6.0,1528301608.0,13.0,1528301970.0,0.4939023623015979,1.0
6.0,1528301608.0,3.0,1528301970.0,0.03744250361815237,1.0
6.0,1528301608.0,15.0,1528302332.0,0.07031401298273156,1.0
10.0,1528301970.0,3.0,1528302332.0,0.47611019052511994,1.0
7.0,1528301970.0,10.0,1528302694.0,0.30922753701452727,1.0
7.0,1528301970.0,16.0,1528303418.0,0.1008543785570596,2.0
9.0,1528301970.0,2.0,1528301608.0,0.43680027879941996,1.0
1.0,1528302332.0,10.0,1528302694.0,0.4505127535686313,1.0
1.0,1528302332.0,8.0,1528302694.0,0.46277729299117293,1.0
10.0,1528302332.0,1.0,1528303056.0,0.0798006065181637,1.0
11.0,1528302332.0,3.0,1528302694.0,0.47890350934015075,1.0
7.0,1528302332.0,2.0,1528302694.0,0.4165280517839413,1.0
1.0,1528302694.0,11.0,1528303056.0,0.47669485093754016,1.0
12.0,1528302694.0,1.0,1528303418.0,0.1843255307235506,1.0
14.0,1528302694.0,10.0,1528303418.0,0.20868955054878036,1.0
15.0,1528302694.0,10.0,1528303418.0,0.3466588458241213,1.0
6.0,1528302694.0,16.0,1528303418.0,0.36649770355417544,1.0
10.0,1528303056.0,1.0,1528303780.0,0.0798006065181637,2.0
10.0,1528303056.0,14.0,1528303780.0,0.2887191246136585,1.0
10.0,1528303056.0,15.0,1528303780.0,0.34071117594724964,2.0
15.0,1528303056.0,11.0,1528303780.0,0.3655306100808774,2.0
16.0,1528303056.0,4.0,1528303780.0,0.014834631012026152,1.0
3.0,1528303056.0,6.0,1528302694.0,0.11427124342126184,1.0
6.0,1528303056.0,11.0,1528303780.0,0.2031469093326465,1.0
6.0,1528303056.0,12.0,1528304142.0,0.10618116925183042,1.0
11.0,1528303418.0,15.0,1528304142.0,0.3429274397675923,1.0
16.0,1528303418.0,15.0,1528303056.0,0.48238759446068935,1.0
13.0,1528303780.0,8.0,1528304504.0,0.17347446675403788,1.0
16.0,1528303780.0,3.0,1528304504.0,0.20140394069652137,1.0
16.0,1528303780.0,2.0,1528304865.0,0.1772019915870744,1.0
2.0,1528303780.0,14.0,1528304142.0,0.04329234290305267,1.0
